player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form,performance_score
Arshdeep Singh,11.0,0.003618667332168705,42.0,0.23015873015873017,0.3943661971830986,1453.0,2097.0,0.24053682037164487,0.23015873015873015,0.14485201987248825
Ashutosh Sharma,9.0,0.02358372847516846,118.0,0.5338983050847458,0.0,0.0,0.0,0.0,0.5338983050847457,0.1684237964917327
Atharva Taide,9.0,0.030821063139505868,177.0,0.4651600753295668,0.0,1.0,4.0,0.6666666666666666,0.4651600753295668,0.08366872803103043
Avesh Khan,9.0,0.005116046917893686,25.0,0.5466666666666667,0.38028169014084506,1390.0,2010.0,0.2410071942446043,0.5466666666666666,0.23676031953201365
Azhar Mahmood,21.0,0.048415273271774396,311.0,0.41586280814576637,0.14553990610328638,552.0,707.0,0.21346618357487923,0.4066666666666666,0.15628273918322963
Azmatullah Omarzai,4.0,0.005240828550037435,34.0,0.411764705882353,0.018779342723004695,131.0,194.0,0.24681933842239187,0.4117647058823529,0.10537660359573098
B Akhil,11.0,0.009483404042924881,57.0,0.4444444444444444,0.03286384976525822,193.0,246.0,0.21243523316062177,0.4444444444444444,0.12362496387360943
B Chipli,21.0,0.03493885700024957,256.0,0.36458333333333337,0.0,6.0,20.0,0.5555555555555556,0.3645833333333333,0.0660480443945318
B Geeves,0.0,0.0,0.0,0.0,0.009389671361502348,49.0,91.0,0.3095238095238095,0.0,-0.028604963112005364
B Indrajith,3.0,0.0026204142750187176,31.0,0.22580645161290322,0.0,0.0,0.0,0.0,0.2258064516129032,0.06865908048012752
B Kumar,65.0,0.03818317943598703,338.0,0.30177514792899407,0.9154929577464789,4060.0,5051.0,0.20734811165845649,0.29666666666666663,0.31177966138895136
B Laughlin,4.0,0.0006239081607187422,13.0,0.12820512820512822,0.046948356807511735,179.0,284.0,0.2644320297951583,0.1282051282051282,0.023973792540152132
B Lee,19.0,0.015472922385824808,102.0,0.40522875816993464,0.14084507042253522,916.0,1126.0,0.20487627365356623,0.4052287581699346,0.14170779052629626
B Sai Sudharsan,25.0,0.12902420763663588,770.0,0.44761904761904764,0.0,0.0,0.0,0.0,0.4811111111111111,0.18111879013314003
B Stanlake,1.0,0.0006239081607187422,2.0,0.8333333333333334,0.03286384976525822,150.0,200.0,0.2222222222222222,0.8333333333333333,0.2362121080753439
B Sumanth,4.0,0.004367357125031196,38.0,0.30701754385964913,0.0,0.0,0.0,0.0,0.3070175438596491,0.09363383815165566
BA Bhatt,2.0,0.0007486897928624907,7.0,0.2857142857142857,0.06103286384976526,303.0,408.0,0.22442244224422442,0.2857142857142857,0.07879229887980646
BA Stokes,43.0,0.1166708260544048,718.0,0.4340761374187559,0.14553990610328638,723.0,1023.0,0.23582295988934993,0.41666666666666663,0.1829898373439506
BAW Mendis,3.0,0.00037434489643124535,6.0,0.16666666666666669,0.04225352112676056,248.0,306.0,0.20564516129032256,0.16666666666666666,0.040129884866408824
